Song,Artist
Satisfaction,The Rolling Stones
Respect,Aretha Franklin
Stairway to Heaven,Led Zeppelin
Like a Rolling Stone,Bob Dylan
Born to Run,Bruce Springsteen
Hotel California,The Eagles
Light My Fire,The Doors
Good Vibrations,The Beach Boys
Hey Jude,The Beatles
Imagine,John Lennon
Louie Louie,The Kingsmen
Yesterday,The Beatles
My Generation,The Who
What's Going On,Marvin Gaye
Johnny B. Goode,Chuck Berry
Layla,Derek & The Dominos
Won't Get Fooled Again,The Who
Jailhouse Rock,Elvis Presley
American Pie,Don McLean
A Day in the Life,The Beatles
I Got You (I Feel Good),James Brown
Superstition,Stevie Wonder
I Want to Hold Your Hand,The Beatles
Brown Sugar,The Rolling Stones
Purple Haze,Jimi Hendrix
Sympathy for the Devil,The Rolling Stones
Bohemian Rhapsody,Queen
You Really Got Me,The Kinks
"Oh, Pretty Woman",Roy Orbison
Bridge Over Troubled Water,Simon & Garfunkel
Hound Dog,Elvis Presley
Let It Be,The Beatles
(Sittin' On) the Dock of the Bay,Otis Redding
All Along the Watchtower,Jimi Hendrix
Walk This Way,Aerosmith
My Girl,The Temptations
Rock Around the Clock,Bill Haley and His Comets
I Heard It Through the Grapevine,Marvin Gaye
Proud Mary,Creedence Clearwater Revival
Born to Be Wild,Steppenwolf
Smells Like Teen Spirit,Nirvana
Every Breath You Take,The Police
What'd I Say (Parts 1 And 2),Ray Charles
Free Bird,Lynyrd Skynyrd
That'll Be the Day,Buddy Holly
Whole Lotta Love,Led Zeppelin
Dream On,Aerosmith
California Dreamin',The Mamas & the Papas
Brown Eyed Girl,Van Morrison
Wild Thing,The Troggs
Suite: Judy Blue Eyes,"Crosby, Stills & Nash"
Beat It,Michael Jackson
Great Balls of Fire,Jerry Lee Lewis
Stayin' Alive,Bee Gees
"For What It's Worth (Stop, Hey What's That Sound)",Buffalo Springfield
Blowin' in the Wind,Bob Dylan
Twist And Shout,The Beatles
Piano Man,Billy Joel
She Loves You,The Beatles
Space Oddity,David Bowie
Strawberry Fields Forever,The Beatles
Kashmir,Led Zeppelin
Crazy,Patsy Cline
London Calling,The Clash
Jumpin' Jack Flash,The Rolling Stones
Rock And Roll,Led Zeppelin
Let's Stay Together,Al Green
All Shook Up,Elvis Presley
Maggie May,Rod Stewart
Your Song,Elton John
Heartbreak Hotel,Elvis Presley
God Only Knows,The Beach Boys
The Twist,Chubby Checker
Good Golly Miss Molly,Little Richard
Sunshine of Your Love,Cream
California Girls,The Beach Boys
Summertime Blues,Eddie Cochran
Blue Suede Shoes,Carl Perkins
A Hard Day's Night,The Beatles
Fire And Rain,James Taylor
Gloria,Van Morrison with Them
Sexual Healing,Marvin Gaye
Start Me Up,The Rolling Stones
More Than a Feeling,Boston
Roxanne,The Police
We Are the Champions,Queen
Tangled Up in Blue,Bob Dylan
Somebody to Love,Jefferson Airplane
Stand by Me,Ben E. King
Whole Lotta Shakin' Going On,Jerry Lee Lewis
You Shook Me All Night Long,AC/DC
When Doves Cry,Prince
In the Midnight Hour,Wilson Pickett
Gimme Some Lovin',The Spencer Davis Group
Jump,Van Halen
Thunder Road,Bruce Springsteen
No Woman No Cry,Bob Marley & The Wailers
La Bamba,Ritchie Valens
We've Only Just Begun,Carpenters
Papa Was a Rollin' Stone,The Temptations
Blitzkrieg Bop,Ramones
Anarchy in the U.K,Sex Pistols
God Save the Queen,Sex Pistols
London Calling,The Clash
Holiday in Cambodia,Dead Kennedys
Rise Above,Black Flag
Sonic Reducer,Dead Boys
Search and Destroy,The Stooges
I Wanna Be Sedated,Ramones
California Uber Alles,Dead Kennedys
Gloria,Patti Smith
Kick Out the Jams,MC5
Ever Fallen in Love,Buzzcocks
White Riot,The Clash
Personality Crisis,New York Dolls
Blank Generation,Richard Hell & the Voidoids
Psycho Killer,Talking Heads
12 X U,Wire
Sheena Is a Punk Rocker,Ramones
New Rose,The Damned
Longview,Green Day
Complete Control,The Clash
I Wanna Be Your Dog,The Stooges
Waiting Room,Fugazi
Welcome to Paradise,Green Day
Pay to Cum,Bad Brains
Institutionalized,Suicidal Tendencies
Chinese Rocks,The Heartbreakers
Where Eagles Dare,The Misfits
Oh Bondage! Up Yours,X-Ray Spex
In the City,The Jam
Alternative Ulster,Stiff Little Fingers
Orgasm Addict,Buzzcocks
American Jesus,Bad Religion
I Against I,Bad Brains
American Idiot,Green Day
Straight Edge,Minor Threat
White Man in Hammersmith Palais,The Clash
Bastards of Young,The Replacements
Celebrated Summer,Husker Du
Ruby Soho,Rancid
Johnny Hit and Run Paulene,X
Banned in D.C,Bad Brains
X-Offender,Blondie
Roadrunner,The Modern Lovers
Basket Case,Green Day
"Radio, Radio",Elvis Costello
Nazi Punks Fuck Off,Dead Kennedys
See No Evil,Television
TV Party,Black Flag
Hoochie Coochie Man,Muddy Waters
The Thrill is Gone,B.B. King
Me And The Devil Blues,Robert Johnson
Stone Crazy,Buddy Guy
I’d Rather Go Blind,Etta James
I’m Tore Down,Freddie King
Call It Stormy Monday,T-Bone Walker
Boogie Chillen’,John Lee Hooker
Red House,Jimi Hendrix
Smokestack Lightning,Howlin’ Wolf
Nobody Knows You When You’re Down and Out,Bessie Smith
Bell Bottom Blues,Derek and the Dominoes
Still Got The Blues,Gary Moore
Mustang Sally,Wilson Pickett
Ball N’ Chain,Big Mama Thornton
Born Under A Bad Sign,Albert King
Hideaway,John Mayall & The Bluesbreakers
Dust My Broom,Elmore James
"Hold On, I’m Coming",Eric Clapton
The Little Red Rooster,Willie Dixon
Tell Mama (Single),Etta James
Down In The Hole,The Rolling Stones
Got My Mojo Working,Muddy Waters
A Little Less Conversation,Guitar Shorty
The Things That I Used to Do,Guitar Slim
Life By The Drop,Stevie Ray Vaughan
Damn Right I’ve Got The Blues,Buddy Guy
Boom Boom,John Lee Hooker
Bright Lights,"Gary Clark, Jr"
Still Rainin’,Jonny Lang
Sweet Home Chicago,Peter Green
Thing Called Love,Bonnie Raitt
Green Onions,Booker T. & The MG’s
The Midnight Special,Leadbelly
Mess Around,Ray Charles
Little Wing,Eric Clapton/Steve Winwood
Bad Penny,Rory Gallagher
Slow Train,Joe Bonamassa
Paying the Cost to Be the Boss,B.B. King
Farther on Up the Road,Bobby “Blue” Bland
Mannish Boy,Muddy Waters
Trouble No More,Allman Brothers Band
Highway 49,George Thorogood
Hellhound On My Trail,Robert Johnson
Help Me,Sonny Boy Williamson II
A Man Of Many Words,Buddy Guy
Don’t Think Twice,Susan Tedeschi
Everyday I Have the Blues,B.B. King
Going Down,Freddie King
Evil,Howlin’ Wolf
Drifting,Fleetwood Mac
Pinetop’s Boogie Woogie,Pinetop Perkins
Trouble In Mind,Big Walter Hornton
Brick,Albert Collins
Whisky And Wimmen,John Lee Hooker
Five Long Years,Ike and Tina Turner
Love Me Like a Man,Bonnie Raitt
Black Rose,Eric Clapton
Blues Boys Tune,B.B. King
True Lies,Kenny Wayne Shepherd
Sacred Ground,John Mooney
Minnie the Moocher,Cab Caloway
Everybody Needs Somebody To Love,Solomon Burke
Spoonful,Howlin’ Wolf
Sinner’s Prayer,Ray Charles
Statesboro Blues,Allman Brothers Band
Black,Cashman
Juke,Little Walter
Walking by Myself,Jimmy Rogers
Messing with the Blues,James Brown and the Famous Flames
