Song,Artist
"""Fight the Power""",Public Enemy
"""Rapper's Delight""",The Sugarhill Gang
"""Nuthin' but a 'G' Thang""",Dr. Dre
"""Walk This Way""",Run-D.M.C.
"""The Message""",Grandmaster Flash and the Furious Five
"""Straight Outta Compton""",N.W.A
"""Juicy""",The Notorious B.I.G.
"""Gin and Juice""",Snoop Doggy Dogg
"""Push It""",Salt-n-Pepa
"""The Breaks""",Kurtis Blow
"""Hard Knock Life (Ghetto Anthem""",Jay-Z
"""I Can't Live Without My Radio""",LL Cool J
"""C.R.E.A.M.""",Wu-Tang Clan
"""I Get Around""",2Pac
"""Stan""",Eminem
"""Get Ur Freak On""",Missy Elliott
"""Baby Got Back""",Sir Mix-a-Lot
"""In da Club""",50 Cent
"""Colors""",Ice-T
"""Gold Digger""",Kanye West
"""Planet Rock""",Afrika Bambaataa & the Soulsonic Force
"""O.P.P.""",Naughty by Nature
"""B.O.B""",OutKast
"""Paid in Full""",Eric B. & Rakim
"""Killing Me Softly""",Fugees
"""U Can't Touch This""",MC Hammer
"""Hold It Now, Hit It""",Beastie Boys
"""It Was a Good Day""",Ice Cube
"""The Humpty Dance""",Digital Underground
"""Check the Rhime",A Tribe Called Quest
"""How Ya Like Me Now""",Kool Moe Dee
"""It's All About the Benjamins""",Puff Daddy
"""Tha Crossroads""",Bone Thugs-n-Harmony
"""Insane in the Brain""",Cypress Hill
"""Ladies First""",Queen Latifah
"""Hot in Herre""",Nelly
"""It Takes Two",Rob Base & DJ E-Z Rock
"""Gangsta's Paradise",Coolio
"""Wild Thing""",Tone Lōc
"""It's Like That""",Run-D.M.C.
"""That's the Joint""",Funky 4 + 1
"""Roxanne's Revenge""",Roxanne Shanté
"""Hate It or Love It""",Game
"""I'll Be There For You/You're All I Need to Get By""",Method Man
"""Mind Playing Tricks on Me""",Geto Boys
"""Me Myself and I""",De La Soul
"""Bust a Move""",Young MC
"""One Love""",Nas
"""My Philosophy""",Boogie Down Productions
"""Tha Block Is Hot""",Lil Wayne
"""The Show""",Doug E. Fresh
"""I'll Be""",Foxy Brown
"""Money, Power & Respect""",The Lox
"""Cha Cha Cha""",MC Lyte
"""Lean Back""",Terror Squad
"""Woo Hah!! Got You All In Check""",Busta Rhymes
"""I Get the Job Done""",Big Daddy Kane
"""What's Your Fantasy""",Ludacris
"""Shimmy Shimmy Ya""",Ol' Dirty Bastard
"""I Need Love""",LL Cool J
"""Children's Story""",Slick Rick
"""Rebirth of Slick (Cool Like Dat)""",Digable Planets
"""Rollin' with Kid 'n Play""",Kid 'n Play
"""What They Do""",The Roots
"""New Love Rap""",Spoonie Gee
"""Jump Around""",House of Pain
"""Feel So Good""",Mase
"""What You Know""",T.I.
"""I Used to Love H.E.R.""",Common
"""Pop Goes the Weasel""",3rd Bass
"""Freaks Come out at Night""",Whodini
"""Supersonic""",J.J. Fad
"""The Choice Is Yours (Revisited)""",Black Sheep
"""You Gots to Chill""",EPMD
"""Crush on You""",Lil' Kim
"""Still Not a Player""",Big Pun
"""Cold Crush Bros. At The Dixie""",Cold Crush Brothers
"""Tennessee""",Arrested Development
"""Ruff Ryders' Anthem""",DMX
"""It's Hard Out Here for a Pimp""",Three 6 Mafia
"""Set Adrift on Memory Bliss""",P.M. Dawn
"""Treat 'Em Right""",Chubb Rock
"""Me So Horny""",2 Live Crew
"""Roxanne, Roxanne""",UTFO
"""Definition""",Black Star
"""Now That We Found Love""",Heavy D
"""We Trying to Stay Alive""",Wyclef Jean
"""What U Waitin' 4?""",Jungle Brothers
"""Oh Boy""",Cam'ron
"""They Reminisce Over You (T.R.O.Y.)""",Pete Rock & C.L. Smooth
"""Ridin'""",Chamillionaire
"""You Can't Play with My Yo-Yo""",Yo-Yo
"""Lapdance""",N*E*R*D
"""Make 'Em Say Uhh!""",Master P
"""Cars with the Boom""",L'Trimm
"""Parents Just Don't Understand""",DJ Jazzy Jeff & The Fresh Prince
"""Who's That Girl?""",Eve
"""Regulate""",Warren G
"""Get Low""",Lil Jon & the East Side Boyz
"""Just a Friend""",Biz Markie
